unqiue_id	response
CC191	"{
""Task"": [""multimodal research""],
""Material"": [""perceptual information"", ""symbolic logic representations"", ""cue word"", ""association norms"", ""feature norms"", ""text"", ""feature-topic model"", ""weighted mixtures"", ""textual similarity""],
""Technique"": [""Latent Dirichlet Allocation"", ""Latent Semantic Analysis"", ""bimodal topic model"", ""Canonical Correlation Analysis"", ""CCA-based model""],
""Process"": [""abstracting away raw perceptual information"", ""employing concepts elicited from psycholinguistic and cognition studies"", ""inferring held out feature norms"", ""performing systematic comparison""],
""Measure"": [""prediction of association norms"", ""word substitution errors"", ""semantic interference tasks"", ""fill-in-the-blank task"", ""word similarity""],
""Concept"": [""psycholinguistic studies"", ""cognition studies"", ""cognitive-linguistic multimodal research"", ""multimodal integration""]
}"
CC1568	"{
""Task"": [""error analysis""],
""Material"": [""MaltParser web page""],
""Technique"": [""feature models"", ""learning algorithm parameters""],
""Process"": [""recall and precision of root nodes"", ""attachment score as a function of arc length""],
""Measure"": [""labeled attachment score"", ""precision"", ""recall"", ""accuracy"", ""arc length""],
""Concept"": [""global syntactic structure""]
}"
CC276	"Here is the output in JSON format:

{
""Task"": [""word-formation"", ""inflection prediction"", ""generalization""],
""Material"": [""English phrase"", ""Arabic stem"", ""large data sets""],
""Technique"": [""split in preprocessing and resynthesize in postprocessing"", ""inflection prediction"", ""factored SMT"", ""SMT system"", ""CRF framework""],
""Process"": [""preprocessing"", ""postprocessing"", ""translating from stems to inflected forms""],
""Measure"": [],
""Concept"": [""stem and inflection"", ""verbal morphology"", ""attached pronouns"", ""agreement phenomena""]
}"
CC648	"{
'Technique': ['Moses'],
'Material': ['Moses toolkit', 'www.statmt.org/moses/']
}"
CC1638	"{
""Technique"": [""Brown clusters""],
""Material"": [""word types"", ""document""],
""Concept"": [""hierarchical""]
}"
CC723	"{
""Concept"": [""meaning"", ""conceptual dependence graph"", ""deep parse"", ""user behavior"", ""interaction""],
""Material"": [""sentence""],
""Technique"": [""network"", ""directed graph""],
""Representation"": [""M(Si)""]
}"
CC567	"{
""Task"": [""annotate PICO entities""],
""Concept"": [""PICO entities"", ""interannotator reliability issues""]
}"
CC1527	"{
""Task"": [""building megacorpora"", ""overcome the sparse data problem""],
""Material"": [""corpus"", ""web"", ""linguistically annotated data"", ""raw data"", ""mega-corpus""],
""Technique"": [],
""Process"": [""annotate the text""],
""Measure"": [],
""Concept"": [""corpus linguistics"", ""sparse data problem""]
}"
CC1121	"{
""Task"": [""natural language generation"", ""multidocument summarization"", ""automatic evaluation of MT"", ""TE""],
""Material"": [""paraphrase tables"", ""bilingual parallel corpus""],
""Technique"": [""pivot-based approach"", ""phrase alignments"", ""pruning techniques""],
""Process"": [""extract"", ""pruning""],
""Measure"": [""precision""],
""Concept"": [""paraphrases""]
}"
CC182	"{
""Task"": [""word association"", ""word similarity prediction""],
""Material"": [""documents"", ""images"", ""video""],
""Technique"": [""Bag of Visual Words (BoVW) model"", ""distributional vector space model"", ""vector concatenation"", ""visual attribute classifiers"", ""video recognition""],
""Process"": [],
""Measure"": [],
""Concept"": [""bimodal vocabulary"", ""distributional hypothesis"", ""visual features"", ""object recognition"", ""meanings of verbs""]
}"
CC1320	"{
""Task"": [""quality improvement"", ""document retrieval""],
""Material"": [""dictionary"", ""lexical repositories""],
""Technique"": [""morphological analysis"", ""inflectional stemmers"", ""derivational stemmers""],
""Concept"": [""empirical evidence""],
""Measure"": []
}"
CC170	"{
""Technique"": [""Bag of Visual Words model"", ""SURF"", ""SIFT algorithm"", ""k-means clustering""],
""Material"": [""images"", ""data set"", ""SimpleCV 3""],
""Process"": [""compute"", ""selecting points-of-interest"", ""compute SURF keypoints"", ""randomly sample"", ""clustered"", ""quantized"", ""summed together""],
""Concept"": [""points-of-interest"", ""visual codewords"", ""centroids"", ""SURF modality""]
}"
CC538	"Here is the output in JSON format:

{
""Task"": [""convert one list of properties into another"", ""interleave CD and linguistic realization""],
""Technique"": [""inference rules"", ""NLG pipeline model""],
""Concept"": [""properties"", ""linguistic realization"", ""CD""]
}"
CC1286	"{
""Technique"": [""LTAG"", ""HPSG""],
""Material"": [""grammar""],
""Process"": [""translation"", ""conversion""],
""Concept"": [""expressive power"", ""generative capacity"", ""equivalence""]
}"
CC1051	"{
""Technique"": [""IdentiFinder"", ""MUC-style NE recognizer""],
""Material"": [""BBN""],
""Concept"": [""PERSON"", ""ORGANIZATION"", ""LOCATION"", ""GPE"", ""ACE""],
""Measure"": [""MUC NE type""]
}"
CC1164	"Here is the output in JSON format:

{
""Task"": [""extract accurate lexicons""],
""Technique"": [""thresholding strategies"", ""word-to-word model""],
""Concept"": [""sense"", ""probability mass"", ""likelihoods""],
""Material"": [""published translation models""]
}"
