unqiue_id	response
2016ApJ...822...72C__Mandrini_et_al._2005_Instance_1	"{
""Task"": [""identification of highly dynamic non-potential activity"", ""study of supergranular-scale magnetic fields""],
""Material"": [""HMI"", ""QS-like supergranular network"", ""QS-like mixed network"", ""hot X-ray sigmoids"", ""micro-sigmoids"", ""soft X-ray imaging"", ""small-scale AR EUV"", ""QS-like magnetic field configurations""],
""Technique"": [],
""Process"": [""sigmoid formation"", ""flux emergence"", ""helicity build-up"", ""flux cancellation"", ""non-potential field heating""],
""Measure"": [],
""Concept"": [""non-potential activity"", ""supergranular network scales"", ""mixed polarity network flux elements"", ""bipolar magnetic flux"", ""eruptive activity"", ""jets"", ""micro-sigmoids"", ""QS bright point sigmoids"", ""flaring non-potential fields"", ""self-similar mechanisms"", ""plasma and magnetic field dynamics"", ""magnetic field topologies"", ""QS flaring non-potential fields"", ""multi-polar environments"", ""post-flare potential loop arcade""]
}"
2018AandA...616A..43S__Breeveld_&_Puchnarewicz_1998_Instance_1	"{
""Task"": [""resolve apparent tension between the two classes of NLS1s""],
""Material"": [""polarized light"", ""BELs"", ""BLR"", ""torus"", ""jet""],
""Technique"": [""spectropolarimetry""],
""Process"": [""polar scattering"", ""planar-scattering"", ""evacuation of the polar material""],
""Measure"": [""polarization fraction"", ""FWHM"", ""polarization angle""],
""Concept"": [""NLS1s"", ""RQ-NLS1s"", ""RL-NLS1s"", ""type II AGN"", ""blazar parent population"", ""axi-symmetry""]
}"
2017MNRAS.464..635M__Dekel_et_al._2009_Instance_3	"Here is the output in JSON format:

{
""Concept"": [""VDI"", ""Toomre Q parameter"", ""epicyclic frequency κ"", ""potential well"", ""star-forming clumps"", ""galaxies"", ""bulge"", ""dark matter halo"", ""giant molecular clouds"", ""GMCs"", ""turbulence"", ""self-regulation"", ""instability""],
""Material"": [""gas"", ""young stars"", ""disc"", ""galaxies""],
""Technique"": [""idealized simulations"", ""cosmological simulations"", ""linear Toomre analysis""],
""Measure"": [""surface density Σ"", ""1D velocity dispersion σ"", ""angular frequency Ω"", ""clump mass to the mass of the cold disc ratio Mc/Md"", ""cold disc mass to the total mass within the disc radius ratio δ""],
""Process"": [""fragmentation"", ""clump formation"", ""self-regulation"", ""accretion""]
}"
2022ApJ...935..148M__Shamasundar_et_al._2011_Instance_1	"{
""Task"": [""determination of electronic structures"", ""computation of molecular orbitals and ground-state energies"", ""calculation of potential energy and dipole moments"", ""determination of dissociation energy"", ""calculation of electronic excitation energy"", ""calculation of internuclear separation"", ""calculation of harmonic frequency"", ""calculation of first-order anharmonic constant"", ""calculation of rotational constant"", ""calculation of vibrational coupling constant""],
""Material"": [""CO molecule"", ""MOLPRO 2015 software package"", ""aug-cc-pwCV5Z-DK Gaussian basis set"", ""carbon and oxygen atoms""],
""Technique"": [""ab initio calculations"", ""HF method"", ""CASSCF method"", ""icMRCI+Q method"", ""third-order Douglas–Kroll Hamiltonian approximation""],
""Process"": [""high-level ab initio calculations"", ""state-averaged calculation"", ""internally contracted multi-reference configuration interaction method"", ""scalar relativistic effect consideration""],
""Measure"": [""potential energy"", ""dipole moments"", ""PECs"", ""PDMs"", ""TDMs"", ""dissociation energy"", ""electronic excitation energy"", ""internuclear separation"", ""harmonic frequency"", ""first-order anharmonic constant"", ""rotational constant"", ""vibrational coupling constant""],
""Concept"": [""electronic structures"", ""molecular orbitals"", ""ground-state energies"", ""dynamic correlation"", ""size-consistency error"", ""scalar relativistic effect"", ""singlet states"", ""triplet states"", ""quintet states""]
}"
2018ApJ...865...22C__Criscuoli_et_al._2013_Instance_1	"{
""Concept"": [""temperature dependence"", ""photosphere"", ""chromosphere"", ""atmosphere models"", ""magnetic structures"", ""quiet structures"", ""lambda-integrated fluxes"", ""spectral brightness"", ""magnetic cycle"", ""LTE"", ""NLTE conditions"", ""plasma temperature"", ""transition region""],
""Material"": [""Mg ii core"", ""Mg ii continuum"", ""FUV"", ""MUV"", ""Mg ii h and k line"", ""Bremen Mg ii index""],
""Measure"": [""color index"", ""temperature"", ""density gradients"", ""brightness temperature"", ""Mg ii index""],
""Technique"": [""Plank function""],
""Process"": [""formation heights"", ""numerical magnetohydrodynamic simulations""]
}"
2017AandA...607A.103G__Gradie_&_Tedesco_(1982)_Instance_1	"{
""Task"": [""phase-polarization curve analysis""],
""Material"": [""B-type asteroids"", ""F-class objects"", ""taxonomic class"", ""asteroids"", ""phase angle range""],
""Technique"": [],
""Process"": [],
""Measure"": [""inversion angle"", ""albedo"", ""polarimetric behavior"", ""phase-polarization curve""],
""Concept"": [""taxonomic type"", ""polarimetric properties"", ""heterogeneity"", ""misclassification""]
}"
2019AandA...622A.106M__Maddox_et_al._2018_Instance_1_1125	"Here is the output in JSON format:

{
""Task"": [""multifrequency detection"", ""photometric redshift estimation""],
""Material"": [""CMB"", ""far IR"", ""Herschel Space Observatory"", ""Planck"", ""Herschel-ATLAS"", ""SPIRE instrument"", ""H-ATLAS""],
""Technique"": [""wavelet techniques"", ""matched filter"", ""MMF"", ""multifrequency MMF filter""],
""Process"": [""detection pipelines"", ""component separation algorithms""],
""Measure"": [""signal-to-noise"", ""S/N amplification"", ""spectral index""],
""Concept"": [""point sources"", ""compact sources"", ""diffuse components"", ""extragalactic compact sources"", ""spectral energy distribution"", ""SED"", ""dust emission"", ""star-forming galaxies"", ""redshift"", ""luminosity function""]
}"
2018MNRAS.474.2444S__Merloni_et_al._2015_Instance_1	"Here is the output in JSON format:

{
""Task"": [""AGN variability"", ""changing-look AGN""],
""Material"": [""IC 2497"", ""Chandra"", ""NuSTAR"", ""WISE"", ""NEOWISE"", ""IRAS""],
""Technique"": [],
""Process"": [],
""Measure"": [""luminosity"", ""time-scales""],
""Concept"": [""Balmer lines"", ""accretion state changes"", ""clumpy torus"", ""photoionization balance"", ""tidal disruption"", ""AGN phases"", ""sub-kpc simulations"", ""theoretical models""]
}"
2018AandA...616A..34H__Mohamed_&_Podsiadlowski_(2012)_Instance_1_817	"{
""Task"": [""origin of this spiral structure""],
""Material"": [""CO emission"", ""AGB stars"", ""binary systems"", ""planets"", ""companion"", ""central CO emission maps"", ""EP Aqr"", ""CSE""],
""Technique"": [""hydrodynamical simulations""],
""Process"": [""wind–binary interaction"", ""wind Roche-lobe overflow"", ""overflowing"", ""gravitational interaction"", ""ejecting"", ""travelling""],
""Measure"": [],
""Concept"": [""one-armed spiral"", ""spiral structure"", ""wind–binary interaction"", ""wind Roche-lobe overflow"", ""Roche lobe"", ""L1 Lagrange point"", ""L2"", ""stagnation point"", ""annular stream"", ""morphological structure"", ""small-scale instabilities""]
}"
2021ApJ...909..175Y__Buzzicotti_et_al._2018_Instance_2	"{
""Task"": [""subfilter-scale stresses"", ""energy balance equations"", ""energy budget""],
""Material"": [""MHD equations"", ""electric field"", ""induction equation"", ""domain Ω"", ""subspace Ωℓ""],
""Technique"": [""filtered MHD equations"", ""projection of the coupling terms""],
""Process"": [""spatiotemporally averaged energy budget"", ""evolution equations for kinetic and magnetic energy""],
""Measure"": [""kinetic and magnetic dissipation rates"", ""energy fluxes"", ""interscale energy conversion""],
""Concept"": [""inertial subfilter-scale stresses"", ""Maxwell subfilter-scale stresses"", ""advective subfilter-scale stresses"", ""dynamo subfilter-scale stresses"", ""Galilean invariance"", ""resolved-scale conversion terms"", ""magnetic-field-line advection"", ""magnetic-field-line stretching""]
}"
2022AandA...659A.124H__Liu_et_al._(2013b)_Instance_2	"{
""Task"": [""ENLR size–luminosity relations"", ""exploring the origin of the significant scatter""],
""Material"": [""CARS data"", ""MUSE"", ""[S II] doublet""],
""Technique"": [""photoionization calculations""],
""Process"": [""target selection"", ""analysis approaches"", ""observationally induced biases""],
""Measure"": [""slopes α"", ""scatter in the observed relation"", ""ionization parameter U"", ""electron density"", ""S/N""],
""Concept"": [""ENLR"", ""BLR"", ""AGN"", ""ionizing radiation field"", ""gas distribution of the galaxies"", ""kiloparsec scales"", ""redshift range"", ""dynamic range""]
}"
2018AandA...617A..86L__Tian_et_al._2016_Instance_1_655	"{
""Task"": [""DEM analysis""],
""Material"": [""AIA intensity images"", ""EUV bandpasses"", ""solar flare""],
""Technique"": [""DEM profiles"", ""Monte Carlo realizations""],
""Process"": [""performing DEM analysis"", ""estimating average temperature"", ""estimating emission measure"", ""calculating number density"", ""determining number density ratio""],
""Measure"": [""temperature"", ""emission measure"", ""number density"", ""density contrast""],
""Concept"": [""flaring loop"", ""background corona"", ""LOS depth"", ""filling factor""]
}"
2018ApJ...869...69M__Künzel_1960_Instance_1	"{
""Task"": [""flare productive"", ""flare activities"", ""evolution of normalized free magnetic energy""],
""Material"": [""AR NOAA 12673"", ""Sun"", ""δ-sunspots"", ""sunspot groups"", ""magnetic fields"", ""corona""],
""Technique"": [],
""Process"": [""occurrence of X-class flares"", ""evolution of AR"", ""generation and storage of magnetic energy""],
""Measure"": [""M-class"", ""X-class"", ""X1.3-class"", ""X8.2-class"", ""magnetic field gradient"", ""free magnetic energy"", ""potential magnetic energy""],
""Concept"": [""α-type AR"", ""βγ-type AR"", ""βγδ-type AR"", ""umbrae"", ""penumbra"", ""PIL"", ""magnetic energy""]
}"
2019MNRAS.488.5029H__Stacey_et_al._2010_Instance_2	"{
""Task"": [""detection of [C ii]158-μm emission"", ""investigation of the [C ii] deficit""],
""Material"": [""GRB host galaxy"", ""GRB 980425"", ""GRB 080207"", ""star-forming galaxies"", ""molecular cloud surfaces"", ""active galactic nuclei""],
""Technique"": [],
""Process"": [],
""Measure"": [""L[C ii]"", ""LFIR"", ""L[C ii]/LFIR"", ""SFR"", ""EWPAH 6.2μm""],
""Concept"": [""photodissociation regions"", ""cool interstellar medium"", ""FIR"", ""metre wavelengths"", ""[C ii] deficit"", ""star-forming galaxies""]
}"
